ts,equity,cash,position,close
2021-01-04 00:00:00+00:00,9999.924959776468,9949.924975,0.0015223531682757433,32843.88
2021-01-04 01:00:00+00:00,10000.453459902366,9949.924975,0.0015223531682757433,33191.04
2021-01-04 02:00:00+00:00,10000.854112809193,9949.924975,0.0015223531682757433,33454.22
2021-01-04 03:00:00+00:00,9950.88111741709,9950.88111741709,0.0,33505.16
2021-01-04 04:00:00+00:00,9950.88111741709,9950.88111741709,0.0,33257.55
2021-01-04 05:00:00+00:00,9950.806460931506,9901.05205534442,0.0015163011740491178,32813.01
2021-01-04 06:00:00+00:00,9951.24165453147,9901.05205534442,0.0015163011740491178,33100.02
2021-01-04 07:00:00+00:00,9949.678075086813,9901.05205534442,0.0015163011740491178,32068.84
2021-01-04 08:00:00+00:00,9899.838551777788,9899.838551777788,0.0,32045.14
2021-01-04 09:00:00+00:00,9899.838551777788,9899.838551777788,0.0,31038.63
2021-01-04 10:00:00+00:00,9899.764278239054,9850.265085480165,0.0016352147339177788,30270.76
2021-01-04 11:00:00+00:00,9900.536590157883,9850.265085480165,0.0016352147339177788,30743.06
2021-01-04 12:00:00+00:00,9901.314886962638,9850.265085480165,0.0016352147339177788,31219.02
2021-01-04 13:00:00+00:00,9901.610828125184,9850.265085480165,0.0016352147339177788,31400.0
2021-01-04 14:00:00+00:00,9853.227623183488,9853.227623183488,0.0,32113.68
2021-01-04 15:00:00+00:00,9853.227623183488,9853.227623183488,0.0,31745.72
2021-01-04 16:00:00+00:00,9853.227623183488,9853.227623183488,0.0,31320.31
2021-01-04 17:00:00+00:00,9853.156748476857,9803.887561227328,0.001588090422710069,31024.17
2021-01-04 18:00:00+00:00,9853.380653345555,9803.887561227328,0.001588090422710069,31165.16
2021-01-04 19:00:00+00:00,9854.175254388558,9803.887561227328,0.001588090422710069,31665.51
2021-01-04 20:00:00+00:00,9804.19179292849,9804.19179292849,0.0,31244.97
2021-01-04 21:00:00+00:00,9804.118236979562,9755.09727801492,0.0015805936739649992,31014.27
2021-01-04 22:00:00+00:00,9804.620518037276,9755.09727801492,0.0015805936739649992,31332.05
2021-01-04 23:00:00+00:00,9805.658430679221,9755.09727801492,0.0015805936739649992,31988.71
2021-01-05 00:00:00+00:00,9806.356705352506,9755.09727801492,0.0015805936739649992,32430.49
2021-01-05 01:00:00+00:00,9757.847295172773,9757.847295172773,0.0,32786.06
2021-01-05 02:00:00+00:00,9757.847295172773,9757.847295172773,0.0,32306.64
2021-01-05 03:00:00+00:00,9757.847295172773,9757.847295172773,0.0,31200.0
2021-01-05 04:00:00+00:00,9757.847295172773,9757.847295172773,0.0,30858.98
2021-01-05 05:00:00+00:00,9757.77407089347,9708.984850447578,0.0016029970987192206,30436.25
2021-01-05 06:00:00+00:00,9758.875329900291,9708.984850447578,0.0016029970987192206,31123.25
2021-01-05 07:00:00+00:00,9758.385646346575,9708.984850447578,0.0016029970987192206,30817.77
2021-01-05 08:00:00+00:00,9758.985680220567,9708.984850447578,0.0016029970987192206,31192.09
