ts,action,units,price,fee,equity,pnl
2021-01-04 01:00:00+00:00,open_long,0.0030447063365514867,32860.311944999994,0.10004999999999999,9999.849919552937,
2021-01-04 04:00:00+00:00,close,0.0030447063365514867,33521.902575,0.1020643491833641,9901.762234834181,2.0143491833641085
2021-01-04 06:00:00+00:00,open_long,0.003047571679647798,32829.416505,0.10005,9901.61218483418,
2021-01-04 09:00:00+00:00,close,0.003047571679647798,32061.172575,0.09770872155587067,9799.173197668495,-2.341278444129327
2021-01-04 11:00:00+00:00,open_long,0.0033035179823697855,30285.895379999998,0.10005,9799.023147668495,
2021-01-04 15:00:00+00:00,close,0.0033035179823697855,32129.736839999998,0.10614116341974897,9705.008169924824,6.091163419748958
2021-01-04 18:00:00+00:00,open_long,0.003223492815640387,31037.761124999997,0.10004999999999999,9704.86430903103,
2021-01-04 21:00:00+00:00,close,0.003223492815640387,31260.592485,0.10076829528805938,9605.475646917595,0.7182952880593888
2021-01-04 22:00:00+00:00,open_long,0.0032243222232862484,31029.777135,0.10005,9605.325596917595,
2021-01-05 02:00:00+00:00,close,0.0032243222232862484,32802.443025,0.10576564602358848,9510.935477295161,5.715646023588497
2021-01-05 06:00:00+00:00,open_long,0.0032855547954972132,30451.478129999996,0.10005,9510.785394439612,
2021-01-05 10:00:00+00:00,close,0.0032855547954972132,31585.414815,0.10377561111319197,9414.40726279724,3.725611113191977
2021-01-05 11:00:00+00:00,open_long,0.0031900236476453,31363.403864999997,0.10004999999999999,9414.25096035089,
2021-01-05 15:00:00+00:00,close,0.0031900236476453,32359.781805,0.10322846919059211,9317.332453518642,3.1784691905921165
2021-01-05 16:00:00+00:00,open_long,0.0031152677089729365,32116.019985,0.10004999999999999,9317.182434671318,
2021-01-05 21:00:00+00:00,close,0.0031152677089729365,33985.64433,0.10587438034988818,9222.90090948818,5.824380349888189
2021-01-05 22:00:00+00:00,open_long,0.0029673916301158204,33716.479815,0.10005,9222.75085948818,
2021-01-06 01:00:00+00:00,close,0.0029673916301158204,33934.969005,0.10069834299367679,9123.298504138864,0.6483429936767859
2021-01-06 03:00:00+00:00,open_long,0.0029521776738611234,33890.23665,0.10004999999999999,9123.148454138864,
2021-01-06 06:00:00+00:00,close,0.0029521776738611234,34994.758635,0.10331074514440576,9026.305888538125,3.2607451444057687
2021-01-06 10:00:00+00:00,open_long,0.0029481566650451803,33936.459749999995,0.10004999999999999,9026.155838538125,
2021-01-06 13:00:00+00:00,close,0.0029481566650451803,34947.334935,0.10303021841418653,8929.033026733898,2.9802184141865427
2021-01-06 15:00:00+00:00,open_long,0.002922816028021622,34230.68679,0.10005,8928.882625995973,
2021-01-06 19:00:00+00:00,close,0.002922816028021622,35233.357875,0.10298062311807184,8831.710619228852,2.930623118071835
2021-01-06 20:00:00+00:00,open_long,0.0028719992992321712,34836.359475,0.10005,8831.554164670415,
2021-01-07 01:00:00+00:00,close,0.0028719992992321712,37169.23533,0.10675001782075567,8738.153837031787,6.700017820755669
2021-01-07 03:00:00+00:00,open_long,0.0027054542227676415,36980.851185,0.10004999999999999,8738.003787031786,
2021-01-07 07:00:00+00:00,close,0.0027054542227676415,37149.415425,0.10050604283491561,8638.359323823866,0.45604283491561737
2021-01-07 08:00:00+00:00,open_long,0.0027127442554927645,36881.47152,0.10005,8638.200620169691,
2021-01-07 18:00:00+00:00,close,0.0027127442554927645,39752.786459999996,0.10783914310919554,8545.890577789953,7.7891431091955425
2021-01-07 19:00:00+00:00,open_long,0.002570193263112226,38927.03379,0.10005,8545.845648694414,
2021-01-07 22:00:00+00:00,close,0.002570193263112226,39706.953555,0.10205454452577106,8447.643017771197,2.0045445257710672
2021-01-08 03:00:00+00:00,open_long,0.002689492207734227,37200.33087,0.10005000000000001,8447.492967771197,
2021-01-08 08:00:00+00:00,close,0.002689492207734227,38949.02477999999,0.10475309864465729,8352.091313317209,4.703098644657283
2021-01-08 09:00:00+00:00,open_long,0.0025873917435294508,38668.284479999995,0.10004999999999999,8351.94123744329,
2021-01-08 12:00:00+00:00,close,0.0025873917435294508,41307.313335,0.10687820147036298,8258.6625865861,6.828201470362991
2021-01-08 13:00:00+00:00,open_long,0.0024202509170935787,41338.689014999996,0.10004999999999999,8258.509825905074,
2021-01-08 17:00:00+00:00,close,0.0024202509170935787,41324.061705,0.10001459823955788,8158.377120227418,-0.035401760442102914
2021-01-08 19:00:00+00:00,open_long,0.0025049679777418565,39940.630334999994,0.10004999999999999,8158.226368836385,
2021-01-08 23:00:00+00:00,close,0.0025049679777418565,40692.356009999996,0.10193304874392138,8060.008185922596,1.8830487439213859
2021-01-09 03:00:00+00:00,open_long,0.0025016886398318864,39992.9865,0.10005,8059.8581359225955,
2021-01-09 06:00:00+00:00,close,0.0025016886398318864,39313.056705,0.09834902735596528,7958.058814251205,-1.7009726440347144
2021-01-09 07:00:00+00:00,open_long,0.002565519520268374,38997.94923,0.10005,7957.925183576134,
2021-01-09 11:00:00+00:00,close,0.002565519520268374,40396.218015,0.10363728586249944,7861.392412827842,3.5872858624994426
2021-01-09 12:00:00+00:00,open_long,0.002465132548944591,40586.052885,0.10005000000000001,7861.242362827842,
2021-01-09 15:00:00+00:00,close,0.002465132548944591,40839.419505,0.10067458230177809,7761.7662705473185,0.6245823017780773
2021-01-09 17:00:00+00:00,open_long,0.002500306912673531,40015.087544999995,0.10005,7761.616245550387,
2021-01-09 20:00:00+00:00,close,0.002500306912673531,40686.242955,0.10172809451110125,7663.192586963908,1.6780945111012544
2021-01-10 00:00:00+00:00,open_long,0.002494498383814497,40108.26411,0.10004999999999999,7663.042536963908,
2021-01-10 03:00:00+00:00,close,0.002494498383814497,40963.221375,0.10218268951577296,7565.073043790165,2.132689515772974
2021-01-10 06:00:00+00:00,open_long,0.002472081547048409,40471.96586999999,0.10004999999999999,7564.92324099832,
